from_date,title,count
1985-02-18,Technique Leader,6
1985-02-18,Senior Staff,98
1985-02-18,Engineer,123
1985-02-18,Assistant Engineer,41
1985-02-19,Staff,73
1985-02-19,Senior Staff,86
1985-02-19,Assistant Engineer,12
1985-02-19,Senior Engineer,127
1985-02-19,Technique Leader,4
1985-02-19,Engineer,122
1985-02-20,Technique Leader,7
1985-02-20,Senior Engineer,129
1985-02-20,Engineer,135
1985-02-20,Staff,114
1985-02-20,Senior Staff,118
1985-02-20,Assistant Engineer,27
1985-02-21,Staff,68
1985-02-21,Technique Leader,6
1985-02-21,Senior Staff,78
1985-02-21,Engineer,82
1985-02-21,Assistant Engineer,20
1985-02-21,Senior Engineer,93
1985-02-22,Senior Staff,86
1985-02-22,Technique Leader,12
1985-02-22,Senior Engineer,88
1985-02-22,Assistant Engineer,13
1985-02-22,Engineer,75
1985-02-22,Staff,83
1985-02-23,Engineer,93
1985-02-23,Staff,91
1985-02-23,Assistant Engineer,20
1985-02-23,Senior Staff,98
1985-02-23,Technique Leader,3
1985-02-23,Senior Engineer,100
1985-02-24,Assistant Engineer,20
1985-02-24,Technique Leader,4
1985-02-24,Senior Engineer,90
1985-02-24,Engineer,89
1985-02-24,Staff,71
1985-02-24,Senior Staff,86
1985-02-25,Engineer,107
1985-02-25,Staff,86
1985-02-25,Assistant Engineer,12
1985-02-25,Senior Engineer,109
1985-02-25,Senior Staff,92
1985-02-26,Staff,89
1985-02-26,Technique Leader,4
1985-02-26,Engineer,130
1985-02-26,Assistant Engineer,27
1985-02-26,Senior Engineer,139
1985-02-26,Senior Staff,97
1985-02-27,Senior Engineer,107
1985-02-27,Senior Staff,115
1985-02-27,Technique Leader,2
1985-02-27,Engineer,91
1985-02-27,Assistant Engineer,16
1985-02-27,Staff,92
1985-02-28,Engineer,73
1985-02-28,Senior Staff,77
1985-02-28,Senior Engineer,84
1985-02-28,Assistant Engineer,6
1985-02-28,Staff,69
1985-03-01,Staff,75
1985-03-01,Senior Staff,83
1985-03-01,Assistant Engineer,13
1985-03-01,Technique Leader,5
1985-03-01,Engineer,105
1985-03-01,Senior Engineer,110
1985-03-02,Assistant Engineer,17
1985-03-02,Senior Staff,104
1985-03-02,Technique Leader,7
1985-03-02,Senior Engineer,110
1985-03-02,Engineer,114
1985-03-02,Staff,86
1985-03-03,Engineer,98
1985-03-03,Senior Staff,77
1985-03-03,Technique Leader,11
1985-03-03,Assistant Engineer,5
1985-03-03,Staff,70
1985-03-03,Senior Engineer,88
1985-03-04,Staff,83
1985-03-04,Technique Leader,4
1985-03-04,Assistant Engineer,25
1985-03-04,Senior Staff,88
1985-03-04,Engineer,85
1985-03-04,Senior Engineer,90
1985-03-05,Engineer,113
1985-03-05,Senior Engineer,113
1985-03-05,Senior Staff,90
1985-03-05,Technique Leader,9
1985-03-05,Staff,80
1985-03-05,Assistant Engineer,25
1985-03-06,Senior Engineer,79
1985-03-06,Assistant Engineer,6
1985-03-06,Staff,84
1985-03-06,Engineer,68
1985-03-06,Senior Staff,90
1985-03-06,Technique Leader,10
1985-03-07,Senior Staff,96
1985-03-07,Technique Leader,2
1985-03-07,Senior Engineer,83
1985-03-07,Engineer,76
1985-03-07,Assistant Engineer,6
1985-03-07,Staff,80
1985-03-08,Engineer,102
1985-03-08,Technique Leader,6
1985-03-08,Senior Staff,61
1985-03-08,Senior Engineer,109
1985-03-08,Staff,57
1985-03-08,Assistant Engineer,6
1985-03-09,Technique Leader,2
1985-03-09,Staff,53
1985-03-09,Senior Engineer,115
1985-03-09,Engineer,103
1985-03-09,Senior Staff,62
1985-03-09,Assistant Engineer,11
1985-03-10,Senior Engineer,117
1985-03-10,Assistant Engineer,6
1985-03-10,Engineer,110
1985-03-10,Staff,76
1985-03-10,Senior Staff,90
1985-03-11,Staff,84
1985-03-11,Assistant Engineer,7
1985-03-11,Senior Staff,92
1985-03-11,Senior Engineer,73
1985-03-11,Technique Leader,8
1985-03-11,Engineer,71
1985-03-12,Technique Leader,7
1985-03-12,Staff,76
1985-03-12,Senior Staff,85
1985-03-12,Assistant Engineer,21
1985-03-12,Senior Engineer,102
1985-03-12,Engineer,99
1985-03-13,Engineer,84
1985-03-13,Staff,60
1985-03-13,Technique Leader,11
1985-03-13,Senior Staff,77
1985-03-13,Assistant Engineer,8
1985-03-13,Senior Engineer,77
1985-03-14,Assistant Engineer,13
1985-03-14,Technique Leader,5
1985-03-14,Senior Staff,75
1985-03-14,Senior Engineer,86
1985-03-14,Staff,69
1985-03-14,Engineer,88
1985-03-15,Technique Leader,15
1985-03-15,Assistant Engineer,13
1985-03-15,Staff,68
1985-03-15,Engineer,89
1985-03-15,Senior Staff,73
1985-03-15,Senior Engineer,98
1985-03-16,Engineer,96
1985-03-16,Assistant Engineer,29
1985-03-16,Senior Staff,97
1985-03-16,Technique Leader,6
1985-03-16,Senior Engineer,101
1985-03-16,Staff,93
1985-03-17,Engineer,139
1985-03-17,Senior Engineer,153
1985-03-17,Staff,75
1985-03-17,Senior Staff,77
1985-03-17,Assistant Engineer,27
1985-03-18,Engineer,86
1985-03-18,Technique Leader,2
1985-03-18,Senior Staff,105
1985-03-18,Senior Engineer,95
1985-03-18,Staff,96
1985-03-19,Staff,53
1985-03-19,Technique Leader,9
1985-03-19,Senior Staff,69
1985-03-19,Senior Engineer,97
1985-03-19,Engineer,99
1985-03-19,Assistant Engineer,22
1985-03-20,Senior Staff,84
1985-03-20,Engineer,115
1985-03-20,Assistant Engineer,32
1985-03-20,Staff,75
1985-03-20,Senior Engineer,126
1985-03-21,Senior Staff,89
1985-03-21,Staff,80
1985-03-21,Assistant Engineer,25
1985-03-21,Engineer,133
1985-03-21,Technique Leader,11
1985-03-21,Senior Engineer,136
1985-03-22,Senior Staff,70
1985-03-22,Technique Leader,8
1985-03-22,Senior Engineer,72
1985-03-22,Staff,64
1985-03-22,Assistant Engineer,19
1985-03-22,Engineer,69
1985-03-23,Senior Engineer,109
1985-03-23,Staff,76
1985-03-23,Technique Leader,11
1985-03-23,Senior Staff,94
1985-03-23,Assistant Engineer,19
1985-03-23,Engineer,109
1985-03-24,Staff,135
1985-03-24,Technique Leader,7
1985-03-24,Engineer,103
1985-03-24,Assistant Engineer,17
1985-03-24,Senior Engineer,115
1985-03-24,Senior Staff,145
1985-03-25,Assistant Engineer,6
1985-03-25,Engineer,104
1985-03-25,Senior Staff,108
1985-03-25,Technique Leader,12
1985-03-25,Senior Engineer,110
1985-03-25,Staff,92
1985-03-26,Assistant Engineer,23
1985-03-26,Technique Leader,8
1985-03-26,Senior Staff,101
1985-03-26,Engineer,106
1985-03-26,Senior Engineer,114
1985-03-26,Staff,96
1985-03-27,Engineer,104
1985-03-27,Technique Leader,17
1985-03-27,Senior Engineer,107
1985-03-27,Staff,84
1985-03-27,Assistant Engineer,21
1985-03-27,Senior Staff,86
1985-03-28,Technique Leader,2
1985-03-28,Senior Engineer,106
1985-03-28,Assistant Engineer,7
1985-03-28,Senior Staff,69
1985-03-28,Engineer,98
1985-03-28,Staff,61
1985-03-29,Senior Staff,80
1985-03-29,Senior Engineer,77
1985-03-29,Engineer,71
1985-03-29,Staff,62
1985-03-29,Technique Leader,2
1985-03-29,Assistant Engineer,11
1985-03-30,Staff,82
1985-03-30,Senior Staff,91
1985-03-30,Technique Leader,8
1985-03-30,Senior Engineer,117
1985-03-30,Engineer,113
1985-03-30,Assistant Engineer,21
1985-03-31,Engineer,84
1985-03-31,Senior Staff,69
1985-03-31,Senior Engineer,80
1985-03-31,Assistant Engineer,5
1985-03-31,Staff,64
1985-04-01,Engineer,100
1985-04-01,Assistant Engineer,18
1985-04-01,Staff,79
1985-04-01,Senior Staff,86
1985-04-01,Technique Leader,4
1985-04-01,Senior Engineer,113
1985-04-02,Engineer,116
1985-04-02,Assistant Engineer,18
1985-04-02,Technique Leader,4
1985-04-02,Staff,66
1985-04-02,Senior Staff,76
1985-04-02,Senior Engineer,130
1985-04-03,Senior Staff,80
1985-04-03,Engineer,105
1985-04-03,Technique Leader,6
1985-04-03,Staff,65
1985-04-03,Senior Engineer,111
1985-04-03,Assistant Engineer,7
1985-04-04,Assistant Engineer,7
1985-04-04,Technique Leader,12
1985-04-04,Staff,60
1985-04-04,Senior Engineer,62
1985-04-04,Senior Staff,74
1985-04-04,Engineer,56
1985-04-05,Senior Staff,76
1985-04-05,Engineer,76
1985-04-05,Assistant Engineer,16
1985-04-05,Staff,70
1985-04-05,Senior Engineer,87
1985-04-05,Technique Leader,10
1985-04-06,Technique Leader,13
1985-04-06,Senior Engineer,106
1985-04-06,Senior Staff,66
1985-04-06,Engineer,116
1985-04-06,Assistant Engineer,19
1985-04-06,Staff,52
1985-04-07,Assistant Engineer,6
1985-04-07,Technique Leader,5
1985-04-07,Engineer,106
1985-04-07,Senior Engineer,104
1985-04-07,Senior Staff,98
1985-04-07,Staff,86
1985-04-08,Senior Staff,79
1985-04-08,Engineer,79
1985-04-08,Senior Engineer,88
1985-04-08,Staff,79
1985-04-08,Assistant Engineer,8
1985-04-08,Technique Leader,3
1985-04-09,Senior Engineer,68
1985-04-09,Technique Leader,17
1985-04-09,Staff,68
1985-04-09,Senior Staff,80
1985-04-09,Engineer,57
1985-04-10,Engineer,69
1985-04-10,Senior Engineer,79
1985-04-10,Assistant Engineer,18
1985-04-10,Staff,67
1985-04-10,Senior Staff,77
1985-04-10,Technique Leader,4
1985-04-11,Assistant Engineer,23
1985-04-11,Senior Staff,97
1985-04-11,Technique Leader,2
1985-04-11,Senior Engineer,122
1985-04-11,Engineer,111
1985-04-11,Staff,94
1985-04-12,Senior Staff,68
1985-04-12,Technique Leader,11
1985-04-12,Senior Engineer,94
1985-04-12,Engineer,85
1985-04-12,Assistant Engineer,14
1985-04-12,Staff,66
1985-04-13,Technique Leader,9
1985-04-13,Senior Engineer,42
1985-04-13,Assistant Engineer,10
1985-04-13,Engineer,41
1985-04-13,Senior Staff,87
1985-04-13,Staff,81
1985-04-14,Technique Leader,4
1985-04-14,Engineer,143
1985-04-14,Senior Staff,58
1985-04-14,Assistant Engineer,16
1985-04-14,Staff,55
1985-04-14,Senior Engineer,138
1985-04-15,Senior Engineer,110
1985-04-15,Senior Staff,69
1985-04-15,Assistant Engineer,24
1985-04-15,Staff,60
1985-04-15,Engineer,110
1985-04-15,Technique Leader,14
1985-04-16,Assistant Engineer,12
1985-04-16,Technique Leader,6
1985-04-16,Staff,115
1985-04-16,Engineer,101
1985-04-16,Senior Engineer,105
1985-04-16,Senior Staff,115
1985-04-17,Assistant Engineer,32
1985-04-17,Senior Engineer,104
1985-04-17,Engineer,104
1985-04-17,Staff,86
1985-04-17,Technique Leader,11
1985-04-17,Senior Staff,98
1985-04-18,Assistant Engineer,26
1985-04-18,Senior Staff,83
1985-04-18,Technique Leader,6
1985-04-18,Staff,75
1985-04-18,Engineer,111
1985-04-18,Senior Engineer,114
1985-04-19,Senior Staff,102
1985-04-19,Engineer,108
1985-04-19,Technique Leader,10
1985-04-19,Staff,96
1985-04-19,Senior Engineer,120
1985-04-19,Assistant Engineer,6
1985-04-20,Staff,83
1985-04-20,Engineer,94
1985-04-20,Senior Engineer,115
1985-04-20,Senior Staff,89
1985-04-21,Senior Staff,78
1985-04-21,Staff,74
1985-04-21,Senior Engineer,78
1985-04-21,Assistant Engineer,16
1985-04-21,Technique Leader,4
1985-04-21,Engineer,71
1985-04-22,Engineer,89
1985-04-22,Senior Engineer,101
1985-04-22,Technique Leader,11
1985-04-22,Senior Staff,97
1985-04-22,Staff,89
1985-04-22,Assistant Engineer,23
1985-04-23,Senior Staff,108
1985-04-23,Staff,96
1985-04-23,Engineer,75
1985-04-23,Assistant Engineer,8
1985-04-23,Senior Engineer,74
1985-04-23,Technique Leader,6
1985-04-24,Engineer,45
1985-04-24,Staff,106
1985-04-24,Technique Leader,10
1985-04-24,Assistant Engineer,8
1985-04-24,Senior Staff,113
1985-04-24,Senior Engineer,62
1985-04-25,Engineer,121
1985-04-25,Assistant Engineer,30
1985-04-25,Staff,102
1985-04-25,Senior Staff,108
1985-04-25,Technique Leader,6
1985-04-25,Senior Engineer,133
1985-04-26,Senior Staff,100
1985-04-26,Engineer,73
1985-04-26,Senior Engineer,80
1985-04-26,Staff,79
1985-04-26,Technique Leader,4
1985-04-26,Assistant Engineer,6
1985-04-27,Assistant Engineer,23
1985-04-27,Senior Engineer,96
1985-04-27,Staff,67
1985-04-27,Engineer,86
1985-04-27,Technique Leader,4
1985-04-27,Senior Staff,75
1985-04-28,Engineer,71
1985-04-28,Technique Leader,12
1985-04-28,Assistant Engineer,7
1985-04-28,Senior Staff,102
1985-04-28,Staff,90
1985-04-28,Senior Engineer,72
1985-04-29,Engineer,108
1985-04-29,Technique Leader,7
1985-04-29,Senior Staff,110
1985-04-29,Staff,103
1985-04-29,Senior Engineer,111
1985-04-29,Assistant Engineer,18
1985-04-30,Senior Staff,75
1985-04-30,Engineer,62
1985-04-30,Technique Leader,2
1985-04-30,Staff,77
1985-04-30,Senior Engineer,66
1985-04-30,Assistant Engineer,8
1985-05-01,Senior Staff,95
1985-05-01,Engineer,134
1985-05-01,Assistant Engineer,36
1985-05-01,Technique Leader,4
1985-05-01,Senior Engineer,139
1985-05-01,Staff,84
1985-05-02,Senior Engineer,120
1985-05-02,Staff,56
1985-05-02,Assistant Engineer,11
1985-05-02,Senior Staff,69
1985-05-02,Technique Leader,2
1985-05-02,Engineer,112
1985-05-03,Technique Leader,12
1985-05-03,Senior Staff,109
1985-05-03,Engineer,55
1985-05-03,Assistant Engineer,13
1985-05-03,Senior Engineer,66
1985-05-03,Staff,98
1985-05-04,Technique Leader,11
1985-05-04,Senior Engineer,96
1985-05-04,Assistant Engineer,17
1985-05-04,Engineer,88
1985-05-04,Senior Staff,96
1985-05-04,Staff,83
1985-05-05,Assistant Engineer,22
1985-05-05,Engineer,85
1985-05-05,Senior Engineer,80
1985-05-05,Senior Staff,51
1985-05-05,Technique Leader,9
1985-05-05,Staff,46
1985-05-06,Senior Engineer,73
1985-05-06,Senior Staff,107
1985-05-06,Staff,102
1985-05-06,Engineer,69
1985-05-06,Assistant Engineer,7
1985-05-06,Technique Leader,4
1985-05-07,Technique Leader,6
1985-05-07,Engineer,73
1985-05-07,Senior Engineer,86
1985-05-07,Senior Staff,100
1985-05-07,Staff,89
1985-05-08,Engineer,95
1985-05-08,Senior Staff,92
1985-05-08,Staff,81
1985-05-08,Senior Engineer,94
1985-05-08,Technique Leader,11
1985-05-09,Staff,56
1985-05-09,Technique Leader,2
1985-05-09,Assistant Engineer,10
1985-05-09,Senior Staff,60
1985-05-09,Senior Engineer,122
1985-05-09,Engineer,116
1985-05-10,Senior Staff,85
1985-05-10,Engineer,69
1985-05-10,Staff,66
1985-05-10,Assistant Engineer,18
1985-05-10,Technique Leader,11
1985-05-10,Senior Engineer,76
1985-05-11,Engineer,111
1985-05-11,Assistant Engineer,16
1985-05-11,Staff,124
1985-05-11,Senior Engineer,117
1985-05-11,Senior Staff,126
1985-05-11,Technique Leader,4
1985-05-12,Staff,53
1985-05-12,Assistant Engineer,20
1985-05-12,Senior Staff,68
1985-05-12,Senior Engineer,100
1985-05-12,Engineer,91
1985-05-12,Technique Leader,10
1985-05-13,Engineer,92
1985-05-13,Assistant Engineer,21
1985-05-13,Staff,34
1985-05-13,Senior Staff,42
1985-05-13,Senior Engineer,95
1985-05-14,Technique Leader,8
1985-05-14,Engineer,88
1985-05-14,Senior Engineer,97
1985-05-14,Staff,91
1985-05-14,Senior Staff,100
1985-05-14,Assistant Engineer,10
1985-05-15,Technique Leader,12
1985-05-15,Senior Engineer,88
1985-05-15,Senior Staff,69
1985-05-15,Staff,63
1985-05-15,Assistant Engineer,12
1985-05-15,Engineer,88
1985-05-16,Staff,115
1985-05-16,Technique Leader,2
1985-05-16,Assistant Engineer,21
1985-05-16,Senior Staff,124
1985-05-16,Engineer,108
1985-05-16,Senior Engineer,109
1985-05-17,Senior Engineer,110
1985-05-17,Senior Staff,93
1985-05-17,Engineer,102
1985-05-17,Technique Leader,12
1985-05-17,Assistant Engineer,30
1985-05-17,Staff,90
1985-05-18,Technique Leader,2
1985-05-18,Assistant Engineer,10
1985-05-18,Engineer,77
1985-05-18,Staff,106
1985-05-18,Senior Engineer,80
1985-05-18,Senior Staff,110
1985-05-19,Staff,68
1985-05-19,Assistant Engineer,17
1985-05-19,Senior Staff,78
1985-05-19,Senior Engineer,127
1985-05-19,Technique Leader,4
1985-05-19,Engineer,119
1985-05-20,Senior Staff,63
1985-05-20,Technique Leader,9
1985-05-20,Senior Engineer,151
1985-05-20,Engineer,144
1985-05-20,Assistant Engineer,20
1985-05-20,Staff,57
1985-05-21,Assistant Engineer,16
1985-05-21,Staff,99
1985-05-21,Senior Staff,113
1985-05-21,Senior Engineer,112
1985-05-21,Engineer,111
1985-05-22,Assistant Engineer,7
1985-05-22,Engineer,63
1985-05-22,Staff,64
1985-05-22,Technique Leader,7
1985-05-22,Senior Engineer,65
1985-05-22,Senior Staff,66
1985-05-23,Senior Staff,96
1985-05-23,Assistant Engineer,25
1985-05-23,Technique Leader,2
1985-05-23,Engineer,81
1985-05-23,Senior Engineer,99
1985-05-23,Staff,93
1985-05-24,Staff,89
1985-05-24,Assistant Engineer,34
1985-05-24,Senior Engineer,125
1985-05-24,Technique Leader,5
1985-05-24,Senior Staff,93
1985-05-24,Engineer,118
1985-05-25,Senior Staff,85
1985-05-25,Senior Engineer,101
1985-05-25,Technique Leader,5
1985-05-25,Engineer,95
1985-05-25,Assistant Engineer,16
1985-05-25,Staff,67
1985-05-26,Assistant Engineer,41
1985-05-26,Engineer,125
1985-05-26,Senior Engineer,129
1985-05-26,Technique Leader,13
1985-05-26,Staff,58
1985-05-26,Senior Staff,65
1985-05-27,Assistant Engineer,12
1985-05-27,Senior Engineer,144
1985-05-27,Technique Leader,6
1985-05-27,Engineer,134
1985-05-27,Senior Staff,88
1985-05-27,Staff,92
1985-05-28,Staff,84
1985-05-28,Technique Leader,8
1985-05-28,Assistant Engineer,16
1985-05-28,Senior Staff,97
1985-05-28,Engineer,80
1985-05-28,Senior Engineer,82
1985-05-29,Assistant Engineer,6
1985-05-29,Engineer,71
1985-05-29,Senior Engineer,84
1985-05-29,Staff,83
1985-05-29,Senior Staff,79
1985-05-29,Technique Leader,7
1985-05-30,Senior Engineer,122
1985-05-30,Staff,60
1985-05-30,Senior Staff,65
1985-05-30,Technique Leader,6
1985-05-30,Engineer,124
1985-05-30,Assistant Engineer,35
1985-05-31,Senior Engineer,92
1985-05-31,Technique Leader,2
1985-05-31,Assistant Engineer,16
1985-05-31,Senior Staff,91
1985-05-31,Staff,84
1985-05-31,Engineer,76
1985-06-01,Technique Leader,4
1985-06-01,Engineer,86
1985-06-01,Assistant Engineer,15
1985-06-01,Senior Engineer,85
1985-06-01,Staff,49
1985-06-01,Senior Staff,52
1985-06-02,Senior Engineer,109
1985-06-02,Assistant Engineer,12
1985-06-02,Staff,72
1985-06-02,Technique Leader,6
1985-06-02,Senior Staff,76
1985-06-02,Engineer,100
1985-06-03,Staff,92
1985-06-03,Senior Staff,96
1985-06-03,Assistant Engineer,19
1985-06-03,Technique Leader,5
1985-06-03,Engineer,85
1985-06-03,Senior Engineer,102
1985-06-04,Assistant Engineer,13
1985-06-04,Senior Staff,117
1985-06-04,Engineer,70
1985-06-04,Senior Engineer,74
1985-06-04,Staff,110
1985-06-04,Technique Leader,9
1985-06-05,Senior Engineer,125
1985-06-05,Technique Leader,7
1985-06-05,Staff,44
1985-06-05,Engineer,109
1985-06-05,Senior Staff,56
1985-06-05,Assistant Engineer,6
1985-06-06,Senior Staff,89
1985-06-06,Assistant Engineer,12
1985-06-06,Staff,81
1985-06-06,Technique Leader,4
1985-06-06,Engineer,99
1985-06-06,Senior Engineer,118
1985-06-07,Engineer,99
1985-06-07,Staff,92
1985-06-07,Assistant Engineer,32
1985-06-07,Senior Engineer,113
1985-06-07,Senior Staff,108
1985-06-07,Technique Leader,4
1985-06-08,Staff,59
1985-06-08,Senior Engineer,74
1985-06-08,Assistant Engineer,7
1985-06-08,Senior Staff,69
1985-06-08,Technique Leader,5
1985-06-08,Engineer,68
1985-06-09,Senior Engineer,122
1985-06-09,Staff,47
1985-06-09,Engineer,114
1985-06-09,Senior Staff,55
1985-06-09,Technique Leader,4
1985-06-09,Assistant Engineer,16
1985-06-10,Staff,109
1985-06-10,Technique Leader,7
1985-06-10,Senior Engineer,85
1985-06-10,Assistant Engineer,22
1985-06-10,Senior Staff,131
1985-06-10,Engineer,83
1985-06-11,Assistant Engineer,14
1985-06-11,Staff,46
1985-06-11,Senior Staff,50
1985-06-11,Senior Engineer,111
1985-06-11,Technique Leader,12
1985-06-11,Engineer,102
1985-06-12,Senior Engineer,64
1985-06-12,Senior Staff,89
1985-06-12,Staff,85
1985-06-12,Assistant Engineer,4
1985-06-12,Engineer,67
1985-06-12,Technique Leader,7
1985-06-13,Technique Leader,8
1985-06-13,Staff,78
1985-06-13,Assistant Engineer,6
1985-06-13,Senior Engineer,93
1985-06-13,Engineer,85
1985-06-13,Senior Staff,88
1985-06-14,Staff,64
1985-06-14,Senior Engineer,108
1985-06-14,Senior Staff,81
1985-06-14,Engineer,91
1985-06-14,Technique Leader,2
1985-06-15,Engineer,83
1985-06-15,Senior Engineer,85
1985-06-15,Staff,105
1985-06-15,Senior Staff,103
1985-06-15,Assistant Engineer,18
1985-06-16,Assistant Engineer,9
1985-06-16,Senior Staff,75
1985-06-16,Technique Leader,2
1985-06-16,Engineer,90
1985-06-16,Staff,71
1985-06-16,Senior Engineer,97
1985-06-17,Senior Engineer,109
1985-06-17,Senior Staff,76
1985-06-17,Technique Leader,6
1985-06-17,Engineer,99
1985-06-17,Assistant Engineer,13
1985-06-17,Staff,64
1985-06-18,Engineer,114
1985-06-18,Senior Staff,71
1985-06-18,Technique Leader,11
1985-06-18,Staff,58
1985-06-18,Senior Engineer,124
1985-06-19,Engineer,65
1985-06-19,Senior Staff,90
1985-06-19,Senior Engineer,71
1985-06-19,Assistant Engineer,12
1985-06-19,Staff,85
1985-06-19,Technique Leader,5
1985-06-20,Technique Leader,14
1985-06-20,Assistant Engineer,27
1985-06-20,Senior Staff,104
1985-06-20,Staff,85
1985-06-20,Senior Engineer,124
1985-06-20,Engineer,105
1985-06-21,Technique Leader,7
1985-06-21,Engineer,87
1985-06-21,Senior Staff,95
1985-06-21,Senior Engineer,100
1985-06-21,Assistant Engineer,12
1985-06-21,Staff,93
1985-06-22,Senior Engineer,96
1985-06-22,Assistant Engineer,13
1985-06-22,Senior Staff,108
1985-06-22,Engineer,86
1985-06-22,Staff,99
1985-06-22,Technique Leader,3
1985-06-23,Senior Staff,84
1985-06-23,Technique Leader,7
1985-06-23,Senior Engineer,96
1985-06-23,Staff,78
1985-06-23,Engineer,100
1985-06-23,Assistant Engineer,10
1985-06-24,Technique Leader,4
1985-06-24,Senior Engineer,127
1985-06-24,Senior Staff,80
1985-06-24,Engineer,120
1985-06-24,Staff,67
1985-06-24,Assistant Engineer,17
1985-06-25,Staff,69
1985-06-25,Senior Engineer,139
1985-06-25,Senior Staff,67
1985-06-25,Engineer,139
1985-06-25,Technique Leader,4
1985-06-25,Assistant Engineer,33
1985-06-26,Engineer,106
1985-06-26,Senior Engineer,105
1985-06-26,Technique Leader,5
1985-06-26,Assistant Engineer,13
1985-06-26,Senior Staff,78
1985-06-26,Staff,72
1985-06-27,Senior Staff,72
1985-06-27,Assistant Engineer,20
1985-06-27,Engineer,102
1985-06-27,Staff,62
1985-06-27,Technique Leader,4
1985-06-27,Senior Engineer,113
1985-06-28,Assistant Engineer,19
1985-06-28,Staff,117
1985-06-28,Senior Engineer,94
1985-06-28,Engineer,106
1985-06-28,Technique Leader,2
1985-06-28,Senior Staff,133
1985-06-29,Engineer,75
1985-06-29,Assistant Engineer,6
1985-06-29,Staff,79
1985-06-29,Senior Staff,83
1985-06-29,Technique Leader,6
1985-06-29,Senior Engineer,94
1985-06-30,Technique Leader,5
1985-06-30,Senior Staff,49
1985-06-30,Senior Engineer,118
1985-06-30,Engineer,116
1985-06-30,Staff,45
1985-06-30,Assistant Engineer,22
1985-07-01,Assistant Engineer,2
1985-07-01,Senior Engineer,82
1985-07-01,Engineer,78
1985-07-01,Staff,102
1985-07-01,Technique Leader,7
1985-07-01,Senior Staff,105
1985-07-02,Engineer,72
1985-07-02,Senior Engineer,87
1985-07-02,Staff,77
